,current,potential,elapsed_time,applied_potential,current_range,segment
0,2.4530635300834547e-07,-0.7477499842643738,1.0,0.0,0.002,0.0
1,1.8396507073248358e-07,-0.7468298673629761,2.0,0.0,0.002,0.0
2,2.4530635300834547e-07,-0.7462164759635925,3.0,0.0,0.002,0.0
3,3.0664762107335264e-07,-0.745603084564209,4.0,0.0,0.002,0.0
4,3.0664762107335264e-07,-0.745603084564209,5.0,0.0,0.002,0.0
5,2.4530635300834547e-07,-0.7459097504615784,6.0,0.0,0.002,0.0
6,2.4530635300834547e-07,-0.7452963590621948,7.0,0.0,0.002,0.0
7,1.8396507073248358e-07,-0.7452963590621948,8.0,0.0,0.002,0.0
8,1.8396507073248358e-07,-0.7459097504615784,9.0,0.0,0.002,0.0
9,1.8396507073248358e-07,-0.745603084564209,10.0,0.0,0.002,0.0
10,2.4530635300834547e-07,-0.7459097504615784,11.0,0.0,0.002,0.0
11,1.8396507073248358e-07,-0.7462164759635925,12.0,0.0,0.002,0.0
12,1.8396507073248358e-07,-0.7459097504615784,13.0,0.0,0.002,0.0
13,1.226238026674764e-07,-0.7462164759635925,14.0,0.0,0.002,0.0
14,6.128253460246924e-08,-0.7468298673629761,15.0,0.0,0.002,0.0
15,1.226238026674764e-07,-0.7471365928649902,16.0,0.0,0.002,0.0
16,1.226238026674764e-07,-0.7471365928649902,17.0,0.0,0.002,0.0
17,6.128253460246924e-08,-0.7480567097663879,18.0,0.0,0.002,0.0
18,-5.873197761463445e-11,-0.7489768266677856,19.0,0.0,0.002,0.0
19,-5.873197761463445e-11,-0.7489768266677856,20.0,0.0,0.002,0.0
20,-5.873197761463445e-11,-0.7492835521697998,21.0,0.0,0.002,0.0
21,-5.873197761463445e-11,-0.750817060470581,22.0,0.0,0.002,0.0
22,-1.2274126959255227e-07,-0.7520439028739929,23.0,0.0,0.002,0.0
23,-6.14000015275451e-08,-0.7520439028739929,24.0,0.0,0.002,0.0
24,-6.14000015275451e-08,-0.7523505687713623,25.0,0.0,0.002,0.0
25,-1.8408253765755944e-07,-0.7526572942733765,26.0,0.0,0.002,0.0
26,-1.8408253765755944e-07,-0.7529640197753906,27.0,0.0,0.002,0.0
27,-3.0676505957671907e-07,-0.7526572942733765,28.0,0.0,0.002,0.0
28,-1.8408253765755944e-07,-0.7532707452774048,29.0,0.0,0.002,0.0
