,current,potential,elapsed_time,applied_potential,current_range,segment
0,-1.4672837096441071e-06,-0.7087982892990112,0.8,-0.7091435790061951,2e-05,0.0
1,-1.4955006690797745e-06,-0.7084915637969971,1.6,-0.709043562412262,2e-05,0.0
2,-1.6059150311775738e-06,-0.7084915637969971,2.4,-0.7089436054229736,2e-05,0.0
3,-1.7482267367086024e-06,-0.7084915637969971,3.2,-0.7088435888290405,2e-05,0.0
4,-1.8568007362773642e-06,-0.7084915637969971,4.0,-0.7087435722351074,2e-05,0.0
5,-2.027942855420406e-06,-0.7081848978996277,4.8,-0.7086435556411743,2e-05,0.0
6,-2.1082998955535004e-06,-0.7081848978996277,5.6,-0.708543598651886,2e-05,0.0
7,-2.247544671263313e-06,-0.7078781723976135,6.4,-0.7084435820579529,2e-05,0.0
8,-2.321154170203954e-06,-0.7078781723976135,7.2,-0.7083435654640198,2e-05,0.0
9,-2.436475824652007e-06,-0.7078781723976135,8.0,-0.7082436084747314,2e-05,0.0
10,-2.433408781143953e-06,-0.7078781723976135,8.8,-0.7081435918807983,2e-05,0.0
11,-2.343236928936676e-06,-0.7075714468955994,9.6,-0.7080435752868652,2e-05,0.0
12,-2.226075139333261e-06,-0.7075714468955994,10.4,-0.7079435586929321,2e-05,0.0
13,-2.161053544114111e-06,-0.7075714468955994,11.2,-0.7078436017036438,2e-05,0.0
14,-1.9764163425861625e-06,-0.70726478099823,12.0,-0.7077435851097107,2e-05,0.0
15,-1.8212227814728976e-06,-0.70726478099823,12.8,-0.7076435685157776,2e-05,0.0
16,-1.7138755765699898e-06,-0.70726478099823,13.6,-0.7075435519218445,2e-05,0.0
17,-1.5445737062691478e-06,-0.7069580554962158,14.4,-0.7074435949325562,2e-05,0.0
18,-1.4568556707672542e-06,-0.7069580554962158,15.2,-0.707343578338623,2e-05,0.0
19,-1.3366268376557855e-06,-0.7066513299942017,16.0,-0.7072435617446899,2e-05,0.0
20,-1.1556700201253989e-06,-0.7066513299942017,16.8,-0.7071436047554016,2e-05,0.0
21,-1.0201058557868237e-06,-0.7066513299942017,17.6,-0.7070435881614685,2e-05,0.0
22,-9.679657750893966e-07,-0.7063446640968323,18.4,-0.7069435715675354,2e-05,0.0
23,-9.931156910170102e-07,-0.7063446640968323,19.2,-0.7068435549736023,2e-05,0.0
24,-1.038508230521984e-06,-0.7063446640968323,20.0,-0.706743597984314,2e-05,0.0
25,-1.1249994713580236e-06,-0.7063446640968323,20.8,-0.7066435813903809,2e-05,0.0
26,-1.1207055194972781e-06,-0.7060379385948181,21.6,-0.7065435647964478,2e-05,0.0
27,-1.2433880556272925e-06,-0.7060379385948181,22.4,-0.7064436078071594,2e-05,0.0
28,-1.4292521655079327e-06,-0.705731213092804,23.2,-0.7063435912132263,2e-05,0.0
29,-1.4623764172938536e-06,-0.705731213092804,24.0,-0.7062435746192932,2e-05,0.0
30,-1.607755166332936e-06,-0.705731213092804,24.8,-0.7061435580253601,2e-05,0.0
31,-1.7476132825322566e-06,-0.7054245471954346,25.6,-0.7060436010360718,2e-05,0.0
32,-1.8966726429425762e-06,-0.7054245471954346,26.4,-0.7059435844421387,2e-05,0.0
33,-2.0107672753510997e-06,-0.7054245471954346,27.2,-0.7058435678482056,2e-05,0.0
34,-1.9800966128968867e-06,-0.7054245471954346,28.0,-0.7057435512542725,2e-05,0.0
35,-1.6500806623298558e-06,-0.7051178216934204,28.8,-0.7056435942649841,2e-05,0.0
36,-1.5783114122314146e-06,-0.7051178216934204,29.6,-0.705543577671051,2e-05,0.0
37,-1.3507352605302003e-06,-0.7048110961914062,30.4,-0.7054435610771179,2e-05,0.0
38,-1.2114905985072255e-06,-0.7048110961914062,31.2,-0.7053436040878296,2e-05,0.0
39,-1.0949422630801564e-06,-0.7048110961914062,32.0,-0.7052435874938965,2e-05,0.0
40,-9.188927947434422e-07,-0.7048110961914062,32.8,-0.7051435708999634,2e-05,0.0
41,-7.268945978466945e-07,-0.7045044302940369,33.6,-0.7050435543060303,2e-05,0.0
42,-5.637268145619601e-07,-0.7045044302940369,34.4,-0.7049435973167419,2e-05,0.0
43,-4.625137535185786e-07,-0.7045044302940369,35.2,-0.7048435807228088,2e-05,0.0
44,-1.5396716435134294e-07,-0.7041977047920227,36.0,-0.7047435641288757,2e-05,0.0
45,-1.5335375280756125e-07,-0.7041977047920227,36.8,-0.7046436071395874,2e-05,0.0
46,-2.0733406813633337e-07,-0.7041977047920227,37.6,-0.7045435905456543,2e-05,0.0
47,-2.159218439601318e-07,-0.7038909792900085,38.4,-0.7044435739517212,2e-05,0.0
48,-3.520994766859076e-07,-0.7038909792900085,39.2,-0.7043435573577881,2e-05,0.0
49,-4.3859066067852837e-07,-0.7038909792900085,40.0,-0.7042436003684998,2e-05,0.0
50,-5.723146045966132e-07,-0.7035843133926392,40.8,-0.7041435837745667,2e-05,0.0
51,-7.360957852142747e-07,-0.7035843133926392,41.6,-0.7040435671806335,2e-05,0.0
52,-8.458966931357281e-07,-0.703277587890625,42.4,-0.7039435505867004,2e-05,0.0
53,-9.955693940355559e-07,-0.703277587890625,43.2,-0.7038435935974121,2e-05,0.0
54,-1.14033480258513e-06,-0.703277587890625,44.0,-0.703743577003479,2e-05,0.0
55,-1.2532026403277996e-06,-0.7029708623886108,44.8,-0.7036435604095459,2e-05,0.0
56,-1.3887669183532125e-06,-0.7029708623886108,45.6,-0.7035436034202576,2e-05,0.0
57,-1.41698387778888e-06,-0.7029708623886108,46.4,-0.7034435868263245,2e-05,0.0
58,-1.1673249673549435e-06,-0.7026641964912415,47.2,-0.7033435702323914,2e-05,0.0
59,-1.1139579783048248e-06,-0.7026641964912415,48.0,-0.7032435536384583,2e-05,0.0
60,-1.0305338946636766e-06,-0.7026641964912415,48.8,-0.7031435966491699,2e-05,0.0
61,-9.20733043585642e-07,-0.7026641964912415,49.6,-0.7030435800552368,2e-05,0.0
62,-8.471234878015821e-07,-0.7023574709892273,50.4,-0.7029435634613037,2e-05,0.0
63,-6.643265351158334e-07,-0.7023574709892273,51.2,-0.7028436064720154,2e-05,0.0
64,-4.7048811779859534e-07,-0.7023574709892273,52.0,-0.7027435898780823,2e-05,0.0
65,-3.766359668588848e-07,-0.7020507454872131,52.8,-0.7026435732841492,2e-05,0.0
66,-2.521132103083801e-07,-0.7020507454872131,53.6,-0.7025435566902161,2e-05,0.0
67,-1.472196373697443e-07,-0.7020507454872131,54.4,-0.7024435997009277,2e-05,0.0
68,1.4721316610177837e-08,-0.7020507454872131,55.2,-0.7023435831069946,2e-05,0.0
69,1.0796004090707356e-07,-0.7017440795898438,56.0,-0.7022435665130615,2e-05,0.0
70,1.5764646832394646e-07,-0.7017440795898438,56.8,-0.7021435499191284,2e-05,0.0
71,6.440774313887232e-08,-0.7017440795898438,57.6,-0.7020435929298401,2e-05,0.0
72,3.066476184088174e-09,-0.7014373540878296,58.4,-0.701943576335907,2e-05,0.0
73,-1.0060026767177987e-07,-0.7014373540878296,59.2,-0.7018435597419739,2e-05,0.0
74,-2.876911366911372e-07,-0.7011306285858154,60.0,-0.7017436027526855,2e-05,0.0
75,-4.023993085411348e-07,-0.7011306285858154,60.8,-0.7016435861587524,2e-05,0.0
76,-3.1345447837338725e-07,-0.7011306285858154,61.6,-0.7015435695648193,2e-05,0.0
77,-4.2325532945142186e-07,-0.7008239030838013,62.4,-0.7014435529708862,2e-05,0.0
78,6.133539454111769e-09,-0.7008239030838013,63.2,-0.7013435959815979,2e-05,0.0
79,-1.6378177747355949e-07,-0.7008239030838013,64.0,-0.7012435793876648,2e-05,0.0
80,-2.9566550097115396e-07,-0.7005172371864319,64.8,-0.7011435627937317,2e-05,0.0
81,-3.5884701787836093e-07,-0.7005172371864319,65.6,-0.7010436058044434,2e-05,0.0
82,-3.600738409659243e-07,-0.7005172371864319,66.4,-0.7009435892105103,2e-05,0.0
83,-1.8034391757737467e-07,-0.7005172371864319,67.2,-0.7008435726165771,2e-05,0.0
