,current,potential,elapsed_time,applied_potential,current_range,segment
0,6.128253460246924e-08,-0.7977431416511536,1.0,0.0,0.002,0.0
1,6.128253460246924e-08,-0.79712975025177,2.0,0.0,0.002,0.0
2,3.0664762107335264e-07,-0.7949827909469604,3.0,0.0,0.002,0.0
3,2.4530635300834547e-07,-0.7980498671531677,4.0,0.0,0.002,0.0
4,2.4530635300834547e-07,-0.799583375453949,5.0,0.0,0.002,0.0
5,1.8396507073248358e-07,-0.7968230247497559,6.0,0.0,0.002,0.0
6,1.8396507073248358e-07,-0.7968230247497559,7.0,0.0,0.002,0.0
7,2.4530635300834547e-07,-0.8001967668533325,8.0,0.0,0.002,0.0
8,1.8396507073248358e-07,-0.7977431416511536,9.0,0.0,0.002,0.0
9,1.226238026674764e-07,-0.7974364161491394,10.0,0.0,0.002,0.0
10,1.226238026674764e-07,-0.8008102178573608,11.0,0.0,0.002,0.0
11,-5.873197761463445e-11,-0.7998901009559631,12.0,0.0,0.002,0.0
12,-5.873197761463445e-11,-0.7983565330505371,13.0,0.0,0.002,0.0
13,-1.2274126959255227e-07,-0.8014236092567444,14.0,0.0,0.002,0.0
14,-1.8408253765755944e-07,-0.8026504516601562,15.0,0.0,0.002,0.0
15,-2.454237915117119e-07,-0.799583375453949,16.0,0.0,0.002,0.0
16,-2.454237915117119e-07,-0.8014236092567444,17.0,0.0,0.002,0.0
17,-2.454237915117119e-07,-0.803570568561554,18.0,0.0,0.002,0.0
18,-2.454237915117119e-07,-0.8011168837547302,19.0,0.0,0.002,0.0
19,-3.6810632764172624e-07,-0.8005034923553467,20.0,0.0,0.002,0.0
20,-3.0676505957671907e-07,-0.8041839599609375,21.0,0.0,0.002,0.0
21,-3.0676505957671907e-07,-0.8023437261581421,22.0,0.0,0.002,0.0
22,-2.454237915117119e-07,-0.8011168837547302,23.0,0.0,0.002,0.0
23,-1.8408253765755944e-07,-0.8044906854629517,24.0,0.0,0.002,0.0
24,-1.8408253765755944e-07,-0.8044906854629517,25.0,0.0,0.002,0.0
25,-1.2274126959255227e-07,-0.8014236092567444,26.0,0.0,0.002,0.0
26,6.128253460246924e-08,-0.8038772344589233,27.0,0.0,0.002,0.0
27,-5.873197761463445e-11,-0.804797351360321,28.0,0.0,0.002,0.0
28,6.128253460246924e-08,-0.8011168837547302,29.0,0.0,0.002,0.0
29,1.226238026674764e-07,-0.7998901009559631,30.0,0.0,0.002,0.0
30,2.4530635300834547e-07,-0.804797351360321,31.0,0.0,0.002,0.0
31,3.0664762107335264e-07,-0.8014236092567444,32.0,0.0,0.002,0.0
32,1.8396507073248358e-07,-0.799583375453949,33.0,0.0,0.002,0.0
33,1.8396507073248358e-07,-0.8032638430595398,34.0,0.0,0.002,0.0
34,1.8396507073248358e-07,-0.8020370006561279,35.0,0.0,0.002,0.0
35,2.4530635300834547e-07,-0.7986632585525513,36.0,0.0,0.002,0.0
36,2.4530635300834547e-07,-0.8014236092567444,37.0,0.0,0.002,0.0
37,1.8396507073248358e-07,-0.8029571175575256,38.0,0.0,0.002,0.0
38,1.226238026674764e-07,-0.7992766499519348,39.0,0.0,0.002,0.0
39,-5.873197761463445e-11,-0.7989699840545654,40.0,0.0,0.002,0.0
40,-5.873197761463445e-11,-0.8026504516601562,41.0,0.0,0.002,0.0
41,-6.14000015275451e-08,-0.7992766499519348,42.0,0.0,0.002,0.0
42,-6.14000015275451e-08,-0.7983565330505371,43.0,0.0,0.002,0.0
43,-2.454237915117119e-07,-0.8026504516601562,44.0,0.0,0.002,0.0
44,-2.454237915117119e-07,-0.7998901009559631,45.0,0.0,0.002,0.0
45,-2.454237915117119e-07,-0.7983565330505371,46.0,0.0,0.002,0.0
46,-3.0676505957671907e-07,-0.8017303347587585,47.0,0.0,0.002,0.0
47,-3.0676505957671907e-07,-0.8014236092567444,48.0,0.0,0.002,0.0
48,-3.0676505957671907e-07,-0.7986632585525513,49.0,0.0,0.002,0.0
49,-2.454237915117119e-07,-0.8005034923553467,50.0,0.0,0.002,0.0
50,-2.454237915117119e-07,-0.8023437261581421,51.0,0.0,0.002,0.0
51,-1.8408253765755944e-07,-0.7983565330505371,52.0,0.0,0.002,0.0
52,-1.2274126959255227e-07,-0.7977431416511536,53.0,0.0,0.002,0.0
53,-1.2274126959255227e-07,-0.8017303347587585,54.0,0.0,0.002,0.0
54,-6.14000015275451e-08,-0.7992766499519348,55.0,0.0,0.002,0.0
55,-5.873197761463445e-11,-0.7980498671531677,56.0,0.0,0.002,0.0
56,6.128253460246924e-08,-0.8017303347587585,57.0,0.0,0.002,0.0
57,1.226238026674764e-07,-0.8008102178573608,58.0,0.0,0.002,0.0
58,2.4530635300834547e-07,-0.7974364161491394,59.0,0.0,0.002,0.0
59,1.8396507073248358e-07,-0.7998901009559631,60.0,0.0,0.002,0.0
60,2.4530635300834547e-07,-0.8011168837547302,61.0,0.0,0.002,0.0
61,2.4530635300834547e-07,-0.7980498671531677,62.0,0.0,0.002,0.0
62,1.226238026674764e-07,-0.7977431416511536,63.0,0.0,0.002,0.0
63,3.0664762107335264e-07,-0.8020370006561279,64.0,0.0,0.002,0.0
64,1.8396507073248358e-07,-0.7992766499519348,65.0,0.0,0.002,0.0
65,1.8396507073248358e-07,-0.7983565330505371,66.0,0.0,0.002,0.0
66,2.4530635300834547e-07,-0.8020370006561279,67.0,0.0,0.002,0.0
67,6.128253460246924e-08,-0.7998901009559631,68.0,0.0,0.002,0.0
68,-5.873197761463445e-11,-0.7980498671531677,69.0,0.0,0.002,0.0
69,-6.14000015275451e-08,-0.8017303347587585,70.0,0.0,0.002,0.0
70,-1.2274126959255227e-07,-0.8020370006561279,71.0,0.0,0.002,0.0
71,-6.14000015275451e-08,-0.7989699840545654,72.0,0.0,0.002,0.0
72,-1.2274126959255227e-07,-0.7992766499519348,73.0,0.0,0.002,0.0
73,-1.2274126959255227e-07,-0.8029571175575256,74.0,0.0,0.002,0.0
74,-2.454237915117119e-07,-0.799583375453949,75.0,0.0,0.002,0.0
75,-3.0676505957671907e-07,-0.7992766499519348,76.0,0.0,0.002,0.0
76,-2.454237915117119e-07,-0.8029571175575256,77.0,0.0,0.002,0.0
77,-3.0676505957671907e-07,-0.8008102178573608,78.0,0.0,0.002,0.0
78,-3.6810632764172624e-07,-0.7992766499519348,79.0,0.0,0.002,0.0
79,-3.0676505957671907e-07,-0.8026504516601562,80.0,0.0,0.002,0.0
80,-3.0676505957671907e-07,-0.8026504516601562,81.0,0.0,0.002,0.0
81,-1.8408253765755944e-07,-0.7998901009559631,82.0,0.0,0.002,0.0
82,-2.454237915117119e-07,-0.8023437261581421,83.0,0.0,0.002,0.0
83,-1.8408253765755944e-07,-0.8038772344589233,84.0,0.0,0.002,0.0
84,-1.2274126959255227e-07,-0.8005034923553467,85.0,0.0,0.002,0.0
85,-5.873197761463445e-11,-0.7998901009559631,86.0,0.0,0.002,0.0
86,-5.873197761463445e-11,-0.8038772344589233,87.0,0.0,0.002,0.0
87,1.226238026674764e-07,-0.8014236092567444,88.0,0.0,0.002,0.0
88,6.128253460246924e-08,-0.7998901009559631,89.0,0.0,0.002,0.0
89,1.8396507073248358e-07,-0.8038772344589233,90.0,0.0,0.002,0.0
90,2.4530635300834547e-07,-0.8026504516601562,91.0,0.0,0.002,0.0
91,3.0664762107335264e-07,-0.8001967668533325,92.0,0.0,0.002,0.0
92,1.8396507073248358e-07,-0.8032638430595398,93.0,0.0,0.002,0.0
93,2.4530635300834547e-07,-0.8038772344589233,94.0,0.0,0.002,0.0
94,1.8396507073248358e-07,-0.8011168837547302,95.0,0.0,0.002,0.0
95,1.8396507073248358e-07,-0.8011168837547302,96.0,0.0,0.002,0.0
96,2.4530635300834547e-07,-0.8041839599609375,97.0,0.0,0.002,0.0
97,1.226238026674764e-07,-0.8011168837547302,98.0,0.0,0.002,0.0
98,2.4530635300834547e-07,-0.8001967668533325,99.0,0.0,0.002,0.0
99,1.226238026674764e-07,-0.8041839599609375,100.0,0.0,0.002,0.0
100,1.8396507073248358e-07,-0.8026504516601562,101.0,0.0,0.002,0.0
101,1.226238026674764e-07,-0.8011168837547302,102.0,0.0,0.002,0.0
102,6.128253460246924e-08,-0.8044906854629517,103.0,0.0,0.002,0.0
103,-5.873197761463445e-11,-0.8051040768623352,104.0,0.0,0.002,0.0
104,-5.873197761463445e-11,-0.8023437261581421,105.0,0.0,0.002,0.0
105,-6.14000015275451e-08,-0.8038772344589233,106.0,0.0,0.002,0.0
106,-1.2274126959255227e-07,-0.8057175278663635,107.0,0.0,0.002,0.0
107,-1.2274126959255227e-07,-0.8026504516601562,108.0,0.0,0.002,0.0
108,-1.8408253765755944e-07,-0.8017303347587585,109.0,0.0,0.002,0.0
109,-2.454237915117119e-07,-0.8057175278663635,110.0,0.0,0.002,0.0
110,-2.454237915117119e-07,-0.8038772344589233,111.0,0.0,0.002,0.0
111,-2.454237915117119e-07,-0.8023437261581421,112.0,0.0,0.002,0.0
112,-3.0676505957671907e-07,-0.8060241937637329,113.0,0.0,0.002,0.0
113,-2.454237915117119e-07,-0.8051040768623352,114.0,0.0,0.002,0.0
114,-3.6810632764172624e-07,-0.8029571175575256,115.0,0.0,0.002,0.0
115,-1.8408253765755944e-07,-0.8054108023643494,116.0,0.0,0.002,0.0
116,-2.454237915117119e-07,-0.8063309192657471,117.0,0.0,0.002,0.0
117,-3.6810632764172624e-07,-0.8032638430595398,118.0,0.0,0.002,0.0
118,-1.8408253765755944e-07,-0.8026504516601562,119.0,0.0,0.002,0.0
119,-2.454237915117119e-07,-0.8072510361671448,120.0,0.0,0.002,0.0
120,-3.0676505957671907e-07,-0.8041839599609375,121.0,0.0,0.002,0.0
121,-2.454237915117119e-07,-0.803570568561554,122.0,0.0,0.002,0.0
