timestamp,pH,pH_unit,mV,mV_unit,temperature,temperature_unit,slope,slope_unit
2020-12-21 14:25:39.732,0.47,pH,356.7,mV,25.0,C,91.9,%
2020-12-21 14:25:44.536,0.47,pH,356.4,mV,25.0,C,91.9,%
2020-12-21 14:25:49.939,0.48,pH,356.3,mV,25.0,C,91.9,%
2020-12-21 14:25:54.742,0.48,pH,356.0,mV,25.0,C,91.9,%
2020-12-21 14:25:59.546,0.49,pH,355.3,mV,25.0,C,91.9,%
2020-12-21 14:26:04.950,0.51,pH,354.3,mV,25.0,C,91.9,%
2020-12-21 14:26:09.753,0.52,pH,353.9,mV,25.0,C,91.9,%
2020-12-21 14:26:14.741,0.52,pH,353.6,mV,25.0,C,91.9,%
2020-12-21 14:26:19.544,0.53,pH,353.4,mV,25.0,C,91.9,%
2020-12-21 14:26:25.548,0.53,pH,353.2,mV,25.0,C,91.9,%
2020-12-21 14:26:29.751,0.53,pH,353.2,mV,25.0,C,91.9,%
2020-12-21 14:26:34.555,0.53,pH,353.2,mV,25.0,C,91.9,%
2020-12-21 14:26:40.559,0.53,pH,353.4,mV,25.0,C,91.9,%
2020-12-21 14:26:44.762,0.52,pH,353.8,mV,25.0,C,91.9,%
2020-12-21 14:26:49.565,0.52,pH,354.1,mV,25.0,C,91.9,%
2020-12-21 14:26:54.969,0.51,pH,354.4,mV,25.0,C,91.9,%
2020-12-21 14:26:59.772,0.51,pH,354.7,mV,25.0,C,91.9,%
2020-12-21 14:27:04.576,0.50,pH,354.9,mV,25.0,C,91.9,%
2020-12-21 14:27:09.980,0.50,pH,355.2,mV,25.0,C,91.9,%
2020-12-21 14:27:14.783,0.49,pH,355.4,mV,25.0,C,91.9,%
2020-12-21 14:27:19.587,0.50,pH,355.0,mV,25.0,C,91.9,%
2020-12-21 14:27:24.990,0.51,pH,354.4,mV,25.0,C,91.9,%
2020-12-21 14:27:29.793,0.51,pH,354.5,mV,25.0,C,91.9,%
2020-12-21 14:27:34.597,0.49,pH,355.4,mV,25.0,C,91.9,%
2020-12-21 14:27:40.601,0.48,pH,356.1,mV,25.0,C,91.9,%
2020-12-21 14:27:44.808,0.48,pH,356.2,mV,25.0,C,91.9,%
2020-12-21 14:27:49.608,0.48,pH,356.2,mV,25.0,C,91.9,%
2020-12-21 14:27:55.011,0.48,pH,356.1,mV,25.0,C,91.9,%
2020-12-21 14:27:59.814,0.48,pH,356.0,mV,25.0,C,91.9,%
2020-12-21 14:28:04.618,0.48,pH,355.9,mV,25.0,C,91.9,%
2020-12-21 14:28:10.022,0.48,pH,356.0,mV,25.0,C,91.9,%
2020-12-21 14:28:14.825,0.48,pH,356.1,mV,25.0,C,91.9,%
2020-12-21 14:28:19.629,0.48,pH,356.2,mV,25.0,C,91.9,%
2020-12-21 14:28:24.887,0.47,pH,356.5,mV,25.0,C,91.9,%
2020-12-21 14:28:29.690,0.47,pH,356.6,mV,25.0,C,91.9,%
2020-12-21 14:28:35.694,0.47,pH,356.7,mV,25.0,C,91.9,%
2020-12-21 14:28:39.897,0.47,pH,356.8,mV,25.0,C,91.9,%
2020-12-21 14:28:44.700,0.47,pH,356.8,mV,25.0,C,91.9,%
2020-12-21 14:28:50.705,0.47,pH,356.8,mV,25.0,C,91.9,%
2020-12-21 14:28:54.908,0.47,pH,356.9,mV,25.0,C,91.9,%
2020-12-21 14:28:59.712,0.46,pH,357.0,mV,25.0,C,91.9,%
2020-12-21 14:29:05.115,0.46,pH,357.0,mV,25.0,C,91.9,%
2020-12-21 14:29:09.918,0.46,pH,357.0,mV,25.0,C,91.9,%
2020-12-21 14:29:14.722,0.46,pH,357.1,mV,25.0,C,91.9,%
2020-12-21 14:29:20.726,0.46,pH,357.1,mV,25.0,C,91.9,%
2020-12-21 14:29:25.087,0.46,pH,357.1,mV,25.0,C,91.9,%
2020-12-21 14:29:29.891,0.46,pH,357.2,mV,25.0,C,91.9,%
2020-12-21 14:29:34.694,0.46,pH,357.2,mV,25.0,C,91.9,%
