,current,potential,elapsed_time,applied_potential,current_range,segment
0,-5.4434247431345284e-05,-0.9704188108444214,1.0,-0.9710666537284851,0.0002,0.0
1,-5.0864186050603166e-05,-0.9655115008354187,2.0,-0.9660666584968567,0.0002,0.0
2,-4.756402631755918e-05,-0.9602975249290466,3.0,-0.9610666632652283,0.0002,0.0
3,-4.548455763142556e-05,-0.955390214920044,4.0,-0.9560666680335999,0.0002,0.0
4,-4.404917126521468e-05,-0.9504829049110413,5.0,-0.9510666728019714,0.0002,0.0
5,-4.1877690819092095e-05,-0.9452688694000244,6.0,-0.946066677570343,0.0002,0.0
6,-3.969393947045319e-05,-0.9403615593910217,7.0,-0.9410666823387146,0.0002,0.0
7,-3.876155460602604e-05,-0.9354543089866638,8.0,-0.9360666275024414,0.0002,0.0
8,-3.729549644049257e-05,-0.930240273475647,9.0,-0.931066632270813,0.0002,0.0
9,-3.5154687793692574e-05,-0.9253329634666443,10.0,-0.9260666370391846,0.0002,0.0
10,-3.4179360227426514e-05,-0.9204256534576416,11.0,-0.9210666418075562,0.0002,0.0
11,-3.333898348500952e-05,-0.9152116775512695,12.0,-0.9160666465759277,0.0002,0.0
12,-3.1216575735015795e-05,-0.9103043675422668,13.0,-0.9110666513442993,0.0002,0.0
13,-2.9952947443234734e-05,-0.9053970575332642,14.0,-0.9060666561126709,0.0002,0.0
14,-2.9247523343656212e-05,-0.9001830816268921,15.0,-0.9010666608810425,0.0002,0.0
15,-2.756677167781163e-05,-0.8952757716178894,16.0,-0.8960666656494141,0.0002,0.0
16,-2.6211129807052203e-05,-0.8903684616088867,17.0,-0.8910666704177856,0.0002,0.0
17,-2.6106848963536322e-05,-0.885461151599884,18.0,-0.8860666751861572,0.0002,0.0
18,-2.5309413103968836e-05,-0.8802471160888672,19.0,-0.8810666799545288,0.0002,0.0
19,-2.3916965801618062e-05,-0.8753398656845093,20.0,-0.8760666847229004,0.0002,0.0
20,-2.3628661438124254e-05,-0.8704325556755066,21.0,-0.8710666298866272,0.0002,0.0
21,-2.318700535397511e-05,-0.8652185201644897,22.0,-0.8660666346549988,0.0002,0.0
22,-2.1751618987764232e-05,-0.8603112101554871,23.0,-0.8610666394233704,0.0002,0.0
23,-2.1156609363970347e-05,-0.8554039001464844,24.0,-0.8560666441917419,0.0002,0.0
24,-2.1052328520454466e-05,-0.8504966497421265,25.0,-0.8510666489601135,0.0002,0.0
