,current,potential,elapsed_time,applied_potential,current_range,segment
0,-2.338943204449606e-06,-0.8308674097061157,0.8,-0.8312127590179443,2e-05,0.0
1,-2.1543060029216576e-06,-0.8305606842041016,1.6,-0.8311127424240112,2e-05,0.0
2,-2.02732940124406e-06,-0.8305606842041016,2.4,-0.8310127854347229,2e-05,0.0
3,-1.9549468106561108e-06,-0.8305606842041016,3.2,-0.8309127688407898,2e-05,0.0
4,-1.8985127780979383e-06,-0.8302540183067322,4.0,-0.8308127522468567,2e-05,0.0
5,-1.8316508203497506e-06,-0.8302540183067322,4.8,-0.8307127356529236,2e-05,0.0
6,-1.7678559061096166e-06,-0.829947292804718,5.6,-0.8306127786636353,2e-05,0.0
7,-1.7175560742543894e-06,-0.829947292804718,6.4,-0.8305127620697021,2e-05,0.0
8,-1.6617354958725628e-06,-0.829947292804718,7.2,-0.830412745475769,2e-05,0.0
9,-1.6059150311775738e-06,-0.8296405673027039,8.0,-0.8303127884864807,2e-05,0.0
10,-1.5550017451460008e-06,-0.8296405673027039,8.8,-0.8302127718925476,2e-05,0.0
11,-1.4967275774324662e-06,-0.8296405673027039,9.6,-0.8301127552986145,2e-05,0.0
12,-1.4458142914008931e-06,-0.8293339014053345,10.4,-0.8300127387046814,2e-05,0.0
13,-1.4004217518959194e-06,-0.8293339014053345,11.2,-0.8299127817153931,2e-05,0.0
14,-1.351962168882892e-06,-0.8293339014053345,12.0,-0.82981276512146,2e-05,0.0
15,-1.3206780522523331e-06,-0.8293339014053345,12.8,-0.8297127485275269,2e-05,0.0
16,-1.2875538004664122e-06,-0.8290271759033203,13.6,-0.8296127319335938,2e-05,0.0
17,-1.2716051287497976e-06,-0.8290271759033203,14.4,-0.8295127749443054,2e-05,0.0
18,-1.2378674227875308e-06,-0.8287204504013062,15.2,-0.8294127583503723,2e-05,0.0
19,-1.2182381396996789e-06,-0.8287204504013062,16.0,-0.8293127417564392,2e-05,0.0
20,-1.2121040526835714e-06,-0.8287204504013062,16.8,-0.8292127847671509,2e-05,0.0
21,-1.1894077260876657e-06,-0.8287204504013062,17.6,-0.8291127681732178,2e-05,0.0
22,-1.1894077260876657e-06,-0.8284137845039368,18.4,-0.8290127515792847,2e-05,0.0
23,-1.1771395520554506e-06,-0.8284137845039368,19.2,-0.8289127349853516,2e-05,0.0
24,-1.174685849036905e-06,-0.8284137845039368,20.0,-0.8288127779960632,2e-05,0.0
25,-1.163031015494198e-06,-0.8281070590019226,20.8,-0.8287127614021301,2e-05,0.0
26,-1.1556700201253989e-06,-0.8281070590019226,21.6,-0.828612744808197,2e-05,0.0
27,-1.1501493872856372e-06,-0.8281070590019226,22.4,-0.8285127878189087,2e-05,0.0
28,-1.1342006018821849e-06,-0.8278003334999084,23.2,-0.8284127712249756,2e-05,0.0
29,-1.110890934796771e-06,-0.8278003334999084,24.0,-0.8283127546310425,2e-05,0.0
30,-1.0869678135350114e-06,-0.8278003334999084,24.8,-0.8282127380371094,2e-05,0.0
