timestamp,pH,pH_unit,mV,mV_unit,temperature,temperature_unit,slope,slope_unit
2020-12-11 10:04:32.602,5.80,pH,54.0,mV,25.0,C,91.9,%
2020-12-11 10:04:37.563,5.81,pH,53.8,mV,25.0,C,91.9,%
2020-12-11 10:04:42.366,5.81,pH,53.6,mV,25.0,C,91.9,%
2020-12-11 10:04:47.771,5.83,pH,52.6,mV,25.0,C,91.9,%
2020-12-11 10:04:52.574,5.84,pH,51.7,mV,25.0,C,91.9,%
2020-12-11 10:04:57.378,5.86,pH,50.8,mV,25.0,C,91.9,%
2020-12-11 10:05:02.781,5.88,pH,49.9,mV,25.0,C,91.9,%
2020-12-11 10:05:07.584,5.89,pH,49.0,mV,25.0,C,91.9,%
2020-12-11 10:05:12.388,5.94,pH,46.4,mV,25.0,C,91.9,%
2020-12-11 10:05:17.792,5.94,pH,46.1,mV,25.0,C,91.9,%
2020-12-11 10:05:22.595,5.96,pH,45.4,mV,25.0,C,91.9,%
2020-12-11 10:05:27.399,5.97,pH,44.6,mV,25.0,C,91.9,%
2020-12-11 10:05:32.802,5.98,pH,43.8,mV,25.0,C,91.9,%
2020-12-11 10:05:37.606,5.99,pH,43.3,mV,25.0,C,91.9,%
2020-12-11 10:05:42.593,6.00,pH,43.0,mV,25.0,C,91.9,%
2020-12-11 10:05:47.997,6.00,pH,42.7,mV,25.0,C,91.9,%
2020-12-11 10:05:52.800,6.01,pH,42.5,mV,25.0,C,91.9,%
2020-12-11 10:05:57.604,6.01,pH,42.3,mV,25.0,C,91.9,%
2020-12-11 10:06:03.007,6.01,pH,42.2,mV,25.0,C,91.9,%
2020-12-11 10:06:07.815,6.01,pH,42.2,mV,25.0,C,91.9,%
2020-12-11 10:06:12.614,6.01,pH,42.2,mV,25.0,C,91.9,%
2020-12-11 10:06:18.018,6.01,pH,42.2,mV,25.0,C,91.9,%
2020-12-11 10:06:22.822,6.01,pH,42.3,mV,25.0,C,91.9,%
2020-12-11 10:06:27.625,6.01,pH,42.5,mV,25.0,C,91.9,%
2020-12-11 10:06:33.029,6.00,pH,42.6,mV,25.0,C,91.9,%
2020-12-11 10:06:37.832,6.00,pH,42.8,mV,25.0,C,91.9,%
2020-12-11 10:06:42.635,6.00,pH,43.0,mV,25.0,C,91.9,%
2020-12-11 10:06:48.039,5.99,pH,43.2,mV,25.0,C,91.9,%
2020-12-11 10:06:52.846,5.99,pH,43.6,mV,25.0,C,91.9,%
2020-12-11 10:06:57.646,5.98,pH,43.8,mV,25.0,C,91.9,%
2020-12-11 10:07:03.050,5.98,pH,43.8,mV,25.0,C,91.9,%
2020-12-11 10:07:07.853,5.98,pH,43.8,mV,25.0,C,91.9,%
2020-12-11 10:07:12.656,5.99,pH,43.6,mV,25.0,C,91.9,%
2020-12-11 10:07:18.061,5.99,pH,43.5,mV,25.0,C,91.9,%
2020-12-11 10:07:22.864,5.99,pH,43.3,mV,25.0,C,91.9,%
2020-12-11 10:07:27.667,5.99,pH,43.2,mV,25.0,C,91.9,%
2020-12-11 10:07:33.070,6.00,pH,43.1,mV,25.0,C,91.9,%
2020-12-11 10:07:37.874,6.00,pH,43.0,mV,25.0,C,91.9,%
2020-12-11 10:07:42.677,6.00,pH,42.9,mV,25.0,C,91.9,%
2020-12-11 10:07:48.082,6.00,pH,42.9,mV,25.0,C,91.9,%
2020-12-11 10:07:52.740,6.00,pH,42.7,mV,25.0,C,91.9,%
2020-12-11 10:07:57.543,6.00,pH,42.6,mV,25.0,C,91.9,%
2020-12-11 10:08:02.947,6.01,pH,42.4,mV,25.0,C,91.9,%
2020-12-11 10:08:07.750,6.01,pH,42.2,mV,25.0,C,91.9,%
2020-12-11 10:08:13.154,6.02,pH,41.9,mV,25.0,C,91.9,%
2020-12-11 10:08:17.956,6.02,pH,41.7,mV,25.0,C,91.9,%
2020-12-11 10:08:22.760,6.02,pH,41.6,mV,25.0,C,91.9,%
2020-12-11 10:08:28.164,6.02,pH,41.5,mV,25.0,C,91.9,%
2020-12-11 10:08:32.968,6.03,pH,41.4,mV,25.0,C,91.9,%
